N,a [mm],d [mm],my_theta [deg],p [mm],Freq [MHz],L [uH],R [¦¸],Q
3,35,0.8,29.9,1,6.78,0.458817694,0.219330457,89.11499264
3,35,0.8,29.9,1.2,6.78,0.440605492,0.20814073,90.17837292
3,35,1,29.9,0.4,6.78,0.488001036,0.23501249,88.45845746
3,35,1,29.9,0.6,6.78,0.464690701,0.217561095,90.98971591
3,35,1,29.9,0.8,6.78,0.44724106,0.193241039,98.59431338
3,35,1,29.9,1,6.78,0.426534261,0.193930471,93.69521933
3,35,1,29.9,1.2,6.78,0.414942993,0.180517477,97.92165424
3,35,1.2,29.9,0.4,6.78,0.447463424,0.215303843,88.53506726
3,35,1.2,29.9,0.6,6.78,0.436412371,0.185141872,100.4157795
3,35,1.2,29.9,0.8,6.78,0.414213046,0.188588847,93.56584206
3,35,1.2,29.9,1,6.78,0.403392535,0.165019561,104.1362639
3,35,1.2,29.9,1.2,6.78,0.383042906,0.161079722,101.3015558
3,35,1.4,29.9,0.4,6.78,0.421520849,0.187012442,96.01920853
3,35,1.4,29.9,0.6,6.78,0.406679041,0.179687676,96.41465711
3,35,1.4,29.9,0.8,6.78,0.391499183,0.157307438,106.0208211
3,35,1.4,29.9,1,6.78,0.368128466,0.16362363,95.84356072
3,35,1.4,29.9,1.2,6.78,0.356062377,0.151773224,99.94026316
3,35,1.6,29.9,0.4,6.78,0.389288927,0.190275105,87.15647225
3,35,1.6,29.9,0.6,6.78,0.380282169,0.152465783,106.2534734
3,35,1.6,29.9,0.8,6.78,0.362549801,0.148603279,103.9318938
3,35,1.6,29.9,1,6.78,0.346387395,0.144324239,102.2427132
3,35,1.6,29.9,1.2,6.78,0.330664667,0.143057191,98.46630907
3,35,1.8,29.9,0.4,6.78,0.370066583,0.152283478,103.5229512
3,35,1.8,29.9,0.6,6.78,0.348985242,0.14752988,100.7712477
3,35,1.8,29.9,0.8,6.78,0.332809935,0.15259566,92.91025769
3,35,1.8,29.9,1,6.78,0.320767245,0.140042399,97.57533113
3,35,1.8,29.9,1.2,6.78,0.305976205,0.136825016,95.26463496
3,35,0.8,49.9,0.4,6.78,0.501392491,0.256053235,83.41749034
3,35,0.8,49.9,0.6,6.78,0.481948902,0.227209683,90.36156029
3,35,0.8,49.9,0.8,6.78,0.452486368,0.223921797,86.08325714
3,35,0.8,49.9,1,6.78,0.440059324,0.216301562,86.66847075
3,35,0.8,49.9,1.2,6.78,0.42170938,0.204469748,87.86051831
3,35,1,49.9,0.4,6.78,0.464974375,0.235230932,84.20621602
3,35,1,49.9,0.6,6.78,0.444576593,0.223539235,84.7232086
3,35,1,49.9,0.8,6.78,0.430721338,0.185995315,98.6515572
3,35,1,49.9,1,6.78,0.40716416,0.184676011,93.9222787
3,35,1,49.9,1.2,6.78,0.399646972,0.166519769,102.2398703
3,35,1.2,49.9,0.4,6.78,0.43660068,0.197151707,94.33946919
3,35,1.2,49.9,0.6,6.78,0.415173643,0.193318949,91.48816407
3,35,1.2,49.9,0.8,6.78,0.397692087,0.171820779,98.60088842
3,35,1.2,49.9,1,6.78,0.385260925,0.157996769,103.8762638
3,35,1.2,49.9,1.2,6.78,0.368658634,0.156479503,100.3636651
3,35,1.4,49.9,0.4,6.78,0.402102492,0.19831277,86.37650901
3,35,1.4,49.9,0.6,6.78,0.380907392,0.174308955,93.09133609
3,35,1.4,49.9,0.8,6.78,0.375843343,0.149498455,107.0975953
3,35,1.4,49.9,1,6.78,0.353379971,0.154377993,97.51380485
3,35,1.4,49.9,1.2,6.78,0.337685493,0.156256459,92.06275921
3,35,1.6,49.9,0.4,6.78,0.374054734,0.169012515,94.28136309
3,35,1.6,49.9,0.6,6.78,0.364722158,0.145220632,106.9900495
3,35,1.6,49.9,0.8,6.78,0.338489278,0.159839666,90.21316446
3,35,1.6,49.9,1,6.78,0.328199427,0.147384972,94.86241536
3,35,1.6,49.9,1.2,6.78,0.311785874,0.146870346,90.43402848
3,35,1.8,49.9,0.4,6.78,0.35101647,0.149332864,100.1340222
3,35,1.8,49.9,0.6,6.78,0.333372067,0.150998218,94.05176475
3,35,1.8,49.9,0.8,6.78,0.320232233,0.144072784,94.68750165
3,35,1.8,49.9,1,6.78,0.308338826,0.137012112,95.86913675
3,35,1.8,49.9,1.2,6.78,0.291900384,0.13454226,92.42415972
3,35,0.8,69.9,0.4,6.78,0.483249388,0.237642509,86.6276923
3,35,0.8,69.9,0.6,6.78,0.463729243,0.213870371,92.36840035
3,35,0.8,69.9,0.8,6.78,0.443533116,0.201441097,93.79669509
3,35,0.8,69.9,1,6.78,0.423719633,0.202379439,89.19114957
3,35,0.8,69.9,1.2,6.78,0.405939351,0.195330419,88.53211377
3,35,1,69.9,0.4,6.78,0.449201778,0.220563036,86.75975115
3,35,1,69.9,0.6,6.78,0.430601502,0.190865933,96.10736801
3,35,1,69.9,0.8,6.78,0.410355873,0.188725917,92.62722918
3,35,1,69.9,1,6.78,0.390472392,0.203228114,81.8495145
3,35,1,69.9,1.2,6.78,0.38091217,0.165338787,98.14307564
3,35,1.2,69.9,0.4,6.78,0.414136098,0.20056841,87.96099191
3,35,1.2,69.9,0.6,6.78,0.399725651,0.17716921,96.11326542
3,35,1.2,69.9,0.8,6.78,0.381455737,0.168358101,96.52052907
3,35,1.2,69.9,1,6.78,0.370873667,0.149886102,105.4081509
3,35,1.2,69.9,1.2,6.78,0.347987435,0.169296561,87.56387855
3,35,1.4,69.9,0.4,6.78,0.385817244,0.183587129,89.52595597
3,35,1.4,69.9,0.6,6.78,0.373723165,0.160236183,99.35711891
3,35,1.4,69.9,0.8,6.78,0.354858953,0.147148699,102.7327472
3,35,1.4,69.9,1,6.78,0.337341546,0.158759052,90.51923928
