N,a [mm],d [mm],my_theta [deg],p [mm],Freq [MHz],"im(Z(1,1))/(2*pi*Freq)*1e6 []","re(Z(1,1)) []","im(Z(1,1))/re(Z(1,1)) []"
7,85,1,49.9,1,6.78,7.612804764,3.755235872,86.3608749
7,85,0.4,69.9,0.4,6.78,21.4250316,41.312201,22.09289862
7,85,0.4,69.9,0.6,6.78,16.23867934,34.46452661,20.07187532
7,85,0.4,69.9,0.8,6.78,10.92372034,8.732529957,53.28930438
7,85,0.4,69.9,1,6.78,9.305046534,5.915689205,67.0073993
7,85,0.6,69.9,0.4,6.78,16.64393624,24.50234547,28.93729601
7,85,0.6,69.9,0.6,6.78,13.36900113,14.77426979,38.54805739
7,85,0.6,69.9,0.8,6.78,9.858210657,6.693028554,62.74584591
7,85,0.6,69.9,1,6.78,8.520742207,4.753334187,76.3639948
7,85,0.8,69.9,0.4,6.78,13.52649849,16.04458467,35.91422268
7,85,0.8,69.9,0.6,6.78,10.62866736,8.651918966,52.33303651
7,85,0.8,69.9,0.8,6.78,8.80567533,5.210684188,71.99087944
7,85,0.8,69.9,1,6.78,7.731812648,3.856402542,85.40996103
7,85,1,69.9,0.4,6.78,12.11468617,13.00145616,39.69444507
7,85,1,69.9,0.6,6.78,9.514032452,6.92720701,58.50810398
7,85,1,69.9,0.8,6.78,8.062111583,4.52681325,75.86924959
7,85,1,69.9,1,6.78,7.125771961,3.314844672,91.57528928
7,85,0.4,89.9,0.4,6.78,17.18377514,32.53598356,22.49905117
7,85,0.4,89.9,0.6,6.78,13.94105398,22.47903335,26.41967916
7,85,0.4,89.9,0.8,6.78,12.52245588,17.88931505,29.81984351
7,85,0.4,89.9,1,6.78,9.033071143,6.163899504,62.42944061
7,85,0.6,89.9,0.4,6.78,12.35687924,12.6791861,41.51709794
7,85,0.6,89.9,0.6,6.78,10.15210948,8.117762441,53.27574317
7,85,0.6,89.9,0.8,6.78,9.768609247,7.559954531,55.04566421
7,85,0.6,89.9,1,6.78,8.141004973,4.932224836,70.31447144
7,85,0.8,89.9,0.4,6.78,12.9326373,15.69511543,35.10202295
7,85,0.8,89.9,0.6,6.78,9.732624159,7.487470653,55.37380688
7,85,0.8,89.9,0.8,6.78,8.380608735,5.253848861,67.95283063
7,85,0.8,89.9,1,6.78,7.236072764,4.07439292,75.65708061
7,85,1,89.9,0.4,6.78,11.04626983,10.92695562,43.06515658
7,85,1,89.9,0.6,6.78,8.813765525,6.288942618,59.70262447
7,85,1,89.9,0.8,6.78,7.582332838,4.450236609,72.58206245
7,85,1,89.9,1,6.78,6.659256882,3.264468913,86.90060364
7,90,0.4,9.9,0.4,6.78,32.95217313,121.1731316,11.58476667
7,90,0.4,9.9,0.6,6.78,16.65603468,28.41342181,24.97224804
7,90,0.4,9.9,0.8,6.78,16.59821341,19.18827949,36.84977757
7,90,0.4,9.9,1,6.78,13.64429964,12.50669994,46.47485894
7,90,0.6,9.9,0.4,6.78,25.48303847,81.33593208,13.346836
7,90,0.6,9.9,0.6,6.78,15.02705064,23.17792465,27.61905186
7,90,0.6,9.9,0.8,6.78,15.37755362,16.26133214,40.28475178
7,90,0.6,9.9,1,6.78,12.72993776,10.59006126,51.20794766
7,90,0.8,9.9,0.4,6.78,21.76713266,56.23907211,16.48817696
7,90,0.8,9.9,0.6,6.78,18.28916493,25.73097914,30.27939029
7,90,0.8,9.9,0.8,6.78,13.94666674,13.67321175,43.45196753
7,90,0.8,9.9,1,6.78,11.68747196,8.788418631,56.65254285
7,90,1,9.9,0.4,6.78,18.81154647,47.58920288,16.83936194
7,90,1,9.9,0.6,6.78,16.17695505,20.44538011,33.70630542
7,90,1,9.9,0.8,6.78,12.56113375,10.94895171,48.87264705
7,90,1,9.9,1,6.78,10.64758066,7.664655225,59.17903471
7,90,0.4,29.9,0.4,6.78,24.79789168,71.5936715,14.7553558
7,90,0.4,29.9,0.6,6.78,17.94516618,24.59945657,31.07645944
7,90,0.4,29.9,0.8,6.78,14.80093388,14.56119728,43.30136578
7,90,0.4,29.9,1,6.78,12.36538142,9.767466219,53.93058875
7,90,0.6,29.9,0.4,6.78,27.45895663,63.69599469,18.36459983
7,90,0.6,29.9,0.6,6.78,17.26313265,21.463519,34.26322535
7,90,0.6,29.9,0.8,6.78,13.58887787,12.19280054,47.47770181
7,90,0.6,29.9,1,6.78,11.50432797,8.246323953,59.4306424
7,90,0.8,29.9,0.4,6.78,16.8708297,34.59833121,20.77259969
7,90,0.8,29.9,0.6,6.78,15.33092189,17.5855461,37.13829603
7,90,0.8,29.9,0.8,6.78,12.28338507,10.01482812,52.24973941
7,90,0.8,29.9,1,6.78,10.50875933,6.998216662,63.96959838
7,90,1,29.9,0.4,6.78,21.13507587,39.83882648,22.59991659
7,90,1,29.9,0.6,6.78,13.79483117,14.41481758,40.76775545
7,90,1,29.9,0.8,6.78,11.25532336,8.48808464,56.48821318
7,90,1,29.9,1,6.78,9.68260558,5.887105458,70.06481634
7,90,0.4,49.9,0.4,6.78,32.4102405,98.44608153,14.02469358
7,90,0.4,49.9,0.6,6.78,17.70355681,23.58633678,31.97492952
7,90,0.4,49.9,0.8,6.78,13.43869939,12.13438148,47.17904629
7,90,0.4,49.9,1,6.78,11.38146045,8.360143945,57.99543373
7,90,0.6,49.9,0.4,6.78,21.78716475,44.2891317,20.95622795
7,90,0.6,49.9,0.6,6.78,15.32374488,16.68531057,39.12372346
7,90,0.6,49.9,0.8,6.78,12.29978994,9.952942881,52.64483209
7,90,0.6,49.9,1,6.78,10.55385772,6.877500011,65.37176301
7,90,0.8,49.9,0.4,6.78,20.09320455,35.19800052,24.31872346
7,90,0.8,49.9,0.6,6.78,13.89672419,13.87986737,42.65173325
7,90,0.8,49.9,0.8,6.78,11.26447188,8.353166869,57.4472495
7,90,0.8,49.9,1,6.78,9.725960116,5.822766948,71.15618218
7,90,1,49.9,0.4,6.78,17.78854141,28.19703301,26.87487721
